top - 11:07:30 up 13 min,  1 user,  load average: 2,37, 1,96, 1,21
Tasks: 247 total,   2 running, 245 sleeping,   0 stopped,   0 zombie
%Cpu(s): 19,0 us,  6,0 sy,  0,0 ni, 72,0 id,  3,0 wa,  0,0 hi,  0,0 si,  0,0 st
МиБ Mem :   3767,6 total,    162,8 free,   1661,8 used,   1943,0 buff/cache
МиБ Swap:   2048,0 total,   2047,7 free,      0,2 used.   1635,1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2055 moira     20   0  174240   7264   6648 S   0,0   0,2   0:00.02 ibus-engine-sim
   2057 moira     20   0  474120  10932   9628 S   0,0   0,3   0:00.38 xdg-desktop-por
   2070 moira     20   0  502748  25800  19472 S   0,0   0,7   0:00.53 xdg-desktop-por
   2110 root      20   0    1076      4      0 S   0,0   0,0   0:00.00 none
   2141 root      20   0  389416  26008  22552 S   0,0   0,7   0:00.66 fwupd
   2467 root      20   0       0      0      0 I   0,0   0,0   0:00.76 kworker/2:4-events
   2551 moira     20   0  428300  25500  19232 S   0,0   0,7   0:00.42 update-notifier
   2890 moira     20   0 2438508 125552  96912 S   0,0   3,3   0:02.64 Privileged Cont
   3227 moira     20   0 2408340  83484  67472 S   0,0   2,2   0:01.00 Web Content
   3619 nobody    20   0   10076   7308   6364 S   0,0   0,2   0:01.73 openvpn
   3667 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/1:1H-events_highpri
   3723 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker/3:0H-mmc_complete
   3724 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/2:1H-events_highpri
   3738 root       0 -20       0      0      0 I   0,0   0,0   0:00.16 kworker/0:0H-events_highpri
   3772 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/0:0-events
   3793 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/0:1H-events_highpri
   3794 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/1:2H-events_highpri
   3846 moira     20   0 4892276 145456 110452 S   0,0   3,8   0:07.35 code
   3848 moira     20   0  373136  51120  43540 S   0,0   1,3   0:00.10 code
   3849 moira     20   0  373136  50488  42928 S   0,0   1,3   0:00.09 code
   3885 moira     20   0  566148 134652  83124 S   0,0   3,5   0:07.77 code
   3888 moira     20   0  439364  77164  67440 S   0,0   2,0   0:00.43 code
   3938 moira     20   0 4672932 153612  71972 S   0,0   4,0   0:08.46 code
   3940 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/2:0H-kblockd
   3941 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker/3:1H-events_highpri
   3949 moira     20   0   36,5g 149824  96604 S   0,0   3,9   0:07.67 code
   3970 moira     20   0 4646484  76612  62808 S   0,0   2,0   0:01.01 code
   3982 moira     20   0 4633048  78836  62772 S   0,0   2,0   0:01.11 code
   4008 moira     20   0 4632024  79052  64708 S   0,0   2,0   0:00.82 code
   4010 moira     20   0   22052   5316   3672 S   0,0   0,1   0:00.07 bash
   4081 moira     20   0   22052   2944   1288 S   0,0   0,1   0:00.01 bash

top - 11:07:33 up 13 min,  1 user,  load average: 2,42, 1,98, 1,22
Tasks: 247 total,   1 running, 246 sleeping,   0 stopped,   0 zombie
%Cpu(s): 24,2 us,  4,7 sy,  0,0 ni, 71,1 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
МиБ Mem :   3767,6 total,    162,2 free,   1665,2 used,   1940,1 buff/cache
МиБ Swap:   2048,0 total,   2047,7 free,      0,2 used.   1634,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2851 moira     20   0 2610024 296452 118348 S  46,6   7,7   4:55.89 Web Content
   2700 moira     20   0 2944976 336912 165896 S  45,0   8,7   4:18.94 firefox
   3938 moira     20   0 4672932 153580  71972 S   5,9   4,0   0:08.64 code
   3906 moira     20   0   50,6g 265996 138520 S   5,5   6,9   0:39.41 code
   2960 moira     20   0 2441104 115460  89960 S   1,6   3,0   0:16.27 WebExtensions
   4082 moira     20   0   23180   4340   3580 R   1,6   0,1   0:00.11 top
   1517 moira     20   0 3888732 233408  86076 S   1,3   6,1   0:58.60 gnome-shell
   1543 moira     20   0 1390432  85792  57172 S   1,0   2,2   0:22.19 Xwayland
   3885 moira     20   0  566148 134652  83124 S   1,0   3,5   0:07.80 code
   3982 moira     20   0 4633048  79216  62772 S   1,0   2,1   0:01.14 code
    132 root      20   0       0      0      0 I   0,7   0,0   0:04.13 kworker/0:2-events
     11 root      20   0       0      0      0 I   0,3   0,0   0:02.31 rcu_sched
    177 root      20   0       0      0      0 I   0,3   0,0   0:04.25 kworker/1:2-events
    194 root      20   0       0      0      0 I   0,3   0,0   0:02.08 kworker/2:2-events
    510 root      20   0       0      0      0 I   0,3   0,0   0:02.26 kworker/3:3-events
    740 message+  20   0    9956   6436   3800 S   0,3   0,2   0:05.03 dbus-daemon
    741 root      20   0  495796  21212  17332 S   0,3   0,5   0:03.11 NetworkManager
   1738 moira     20   0 1281244  64196  46008 S   0,3   1,7   0:03.87 riseup-vpn
   3846 moira     20   0 4892276 145456 110452 S   0,3   3,8   0:07.36 code
   3949 moira     20   0   36,5g 149824  96604 S   0,3   3,9   0:07.68 code
   3970 moira     20   0 4646484  76624  62808 S   0,3   2,0   0:01.02 code
      1 root      20   0  167764  11612   8400 S   0,0   0,3   0:04.74 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.02 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_percpu_wq
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.36 ksoftirqd/0
     12 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migration/0
     13 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/0
     14 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/1
     17 root      rt   0       0      0      0 S   0,0   0,0   0:00.29 migration/1
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.26 ksoftirqd/1
     20 root       0 -20       0      0      0 I   0,0   0,0   0:00.74 kworker/1:0H-kblockd
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/2
     23 root      rt   0       0      0      0 S   0,0   0,0   0:00.30 migration/2
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.23 ksoftirqd/2
     27 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     28 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/3
     29 root      rt   0       0      0      0 S   0,0   0,0   0:00.30 migration/3
     30 root      20   0       0      0      0 S   0,0   0,0   0:00.54 ksoftirqd/3
     33 root      20   0       0      0      0 S   0,0   0,0   0:00.01 kdevtmpfs
     34 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
     35 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_kthre
     36 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_rude_
     37 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_trace
     38 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     41 root      20   0       0      0      0 I   0,0   0,0   0:00.75 kworker/1:1-events
     42 root      20   0       0      0      0 S   0,0   0,0   0:00.00 khungtaskd
     43 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_reaper
     44 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeback
     45 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kcompactd0
     46 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     47 root      39  19       0      0      0 S   0,0   0,0   0:00.00 khugepaged
     93 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegrityd
     94 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
